id,date_time,date_time_of_next_variable_1,hours_until_next_1,date_time_of_next_variable_2,hours_until_next_2,score,ScoreCategory,filter_$,accesscomplexity,confidentialityimpact,integrityimpact,availabilityimpact
CVE-2006-1058,4/4/2006 6:04:00,4/4/2006 6:04:00,0,4/6/2006 6:04:00,48,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1642,4/6/2006 6:04:00,4/7/2006 6:04:00,24,4/7/2006 6:04:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1640,4/6/2006 6:04:00,4/6/2006 6:04:00,0,4/7/2006 6:04:00,24,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1673,4/7/2006 6:04:00,4/10/2006 14:06:00,80.0333333333333,4/10/2006 15:02:00,.933333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1665,4/7/2006 6:04:00,4/7/2006 6:04:00,0,4/10/2006 14:06:00,80.0333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0053,4/10/2006 14:06:00,4/10/2006 15:02:00,.933333333333333,4/10/2006 15:02:00,0,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-1494,4/10/2006 15:02:00,4/10/2006 15:02:00,0,4/10/2006 15:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1608,4/10/2006 15:02:00,4/10/2006 15:02:00,0,4/10/2006 15:02:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1675,4/10/2006 15:02:00,4/10/2006 18:58:00,3.93333333333333,4/10/2006 20:02:00,1.06666666666667,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1674,4/10/2006 15:02:00,4/10/2006 15:02:00,0,4/10/2006 18:58:00,3.93333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1549,4/10/2006 18:58:00,4/10/2006 20:02:00,1.06666666666667,4/11/2006 6:02:00,10,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-1680,4/10/2006 20:02:00,4/11/2006 6:02:00,10,4/11/2006 6:02:00,0,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1695,4/11/2006 6:02:00,4/11/2006 6:02:00,0,4/11/2006 6:02:00,0,1.2,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1699,4/11/2006 6:02:00,4/11/2006 6:02:00,0,4/11/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1705,4/11/2006 6:02:00,4/11/2006 15:06:00,9.06666666666667,4/11/2006 19:02:00,3.93333333333333,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-1701,4/11/2006 6:02:00,4/11/2006 6:02:00,0,4/11/2006 15:06:00,9.06666666666667,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1712,4/11/2006 15:06:00,4/11/2006 19:02:00,3.93333333333333,4/11/2006 19:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1721,4/11/2006 19:02:00,4/12/2006 18:02:00,23,4/12/2006 18:02:00,0,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-1192,4/11/2006 19:02:00,4/11/2006 19:02:00,0,4/12/2006 18:02:00,23,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1752,4/12/2006 18:02:00,4/12/2006 21:06:00,3.06666666666667,4/12/2006 21:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1745,4/12/2006 18:02:00,4/12/2006 18:02:00,0,4/12/2006 18:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1748,4/12/2006 18:02:00,4/12/2006 18:02:00,0,4/12/2006 18:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1750,4/12/2006 18:02:00,4/12/2006 18:02:00,0,4/12/2006 21:06:00,3.06666666666667,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1761,4/12/2006 21:06:00,4/13/2006 6:02:00,8.93333333333333,4/13/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1757,4/12/2006 21:06:00,4/12/2006 21:06:00,0,4/12/2006 21:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1759,4/12/2006 21:06:00,4/12/2006 21:06:00,0,4/13/2006 6:02:00,8.93333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1783,4/13/2006 6:02:00,4/13/2006 18:02:00,12,4/13/2006 18:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1780,4/13/2006 6:02:00,4/13/2006 6:02:00,0,4/13/2006 6:02:00,0,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-1782,4/13/2006 6:02:00,4/13/2006 6:02:00,0,4/13/2006 18:02:00,12,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1788,4/13/2006 18:02:00,4/14/2006 6:02:00,12,4/14/2006 6:02:00,0,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1785,4/13/2006 18:02:00,4/13/2006 18:02:00,0,4/13/2006 18:02:00,0,2.1,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1786,4/13/2006 18:02:00,4/13/2006 18:02:00,0,4/13/2006 18:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1787,4/13/2006 18:02:00,4/13/2006 18:02:00,0,4/14/2006 6:02:00,12,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1725,4/14/2006 6:02:00,4/14/2006 6:02:00,0,4/14/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1740,4/14/2006 6:02:00,4/17/2006 6:02:00,72,4/18/2006 6:02:00,24,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1736,4/14/2006 6:02:00,4/14/2006 6:02:00,0,4/17/2006 6:02:00,72,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1795,4/17/2006 6:02:00,4/18/2006 6:02:00,24,4/18/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1806,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1808,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1810,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 6:02:00,0,1.9,1,1,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-1814,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 6:02:00,0,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-1815,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1817,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1818,4/18/2006 6:02:00,4/18/2006 6:02:00,0,4/18/2006 16:02:00,10,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1824,4/18/2006 6:02:00,4/18/2006 16:02:00,10,4/19/2006 12:06:00,20.0666666666667,1.2,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1753,4/18/2006 16:02:00,4/19/2006 12:06:00,20.0666666666667,4/19/2006 12:06:00,0,3.6,1,1,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-1247,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,3.3,1,1,MEDIUM,NONE,PARTIAL,PARTIAL
CVE-2006-1830,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,3.7,1,1,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-1833,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1835,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1841,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1842,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1843,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1844,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1848,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 12:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1850,4/19/2006 12:06:00,4/19/2006 12:06:00,0,4/19/2006 14:18:00,2.2,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1854,4/19/2006 12:06:00,4/19/2006 14:18:00,2.2,4/20/2006 6:02:00,15.7333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1524,4/19/2006 14:18:00,4/20/2006 6:02:00,15.7333333333333,4/20/2006 6:02:00,0,3.6,1,1,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-1906,4/20/2006 6:02:00,4/20/2006 14:06:00,8.06666666666667,4/20/2006 14:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1056,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 6:02:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1878,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1898,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1899,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1902,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 6:02:00,0,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-1903,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1904,4/20/2006 6:02:00,4/20/2006 6:02:00,0,4/20/2006 14:06:00,8.06666666666667,2.6,1,1,HIGH,NONE,PARTIAL,NONE
