id,date_time,date_time_of_next_variable_1,hours_until_next,date_time_of_next_variable_2,hours_until_next_2,score,ScoreCategory,accesscomplexity,confidentialityimpact,integrityimpact,availabilityimpact
CVE-2006-0204,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 18:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0212,1/13/2006 20:03:00,1/13/2006 20:03:00,0,1/16/2006 14:03:00,66,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0213,1/13/2006 20:03:00,1/16/2006 14:03:00,66,1/16/2006 14:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0210,1/13/2006 20:03:00,1/13/2006 20:03:00,0,1/13/2006 20:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0211,1/13/2006 20:03:00,1/13/2006 20:03:00,0,1/13/2006 20:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0216,1/16/2006 14:03:00,1/16/2006 14:03:00,0,1/16/2006 16:03:00,2,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0217,1/16/2006 14:03:00,1/16/2006 16:03:00,2,1/16/2006 16:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0215,1/16/2006 14:03:00,1/16/2006 14:03:00,0,1/16/2006 14:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0222,1/16/2006 16:03:00,1/16/2006 16:03:00,0,1/17/2006 19:07:00,27.0666666666667,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0223,1/16/2006 16:03:00,1/17/2006 19:07:00,27.0666666666667,1/17/2006 20:07:00,1,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0220,1/16/2006 16:03:00,1/16/2006 16:03:00,0,1/16/2006 16:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0233,1/17/2006 19:07:00,1/17/2006 20:07:00,1,1/17/2006 20:07:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0241,1/17/2006 20:07:00,1/17/2006 20:07:00,0,1/17/2006 20:51:00,.733333333333333,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0242,1/17/2006 20:07:00,1/17/2006 20:51:00,.733333333333333,1/17/2006 20:51:00,0,6.4,2,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0236,1/17/2006 20:07:00,1/17/2006 20:07:00,0,1/17/2006 20:07:00,0,5.1,2,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0237,1/17/2006 20:07:00,1/17/2006 20:07:00,0,1/17/2006 20:07:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0239,1/17/2006 20:07:00,1/17/2006 20:07:00,0,1/17/2006 20:07:00,0,5.8,2,MEDIUM,PARTIAL,PARTIAL,NONE
CVE-2006-0253,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/18/2006 6:03:00,9.2,5.1,2,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0254,1/17/2006 20:51:00,1/18/2006 6:03:00,9.2,1/18/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0243,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0244,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0245,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0246,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0247,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0248,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0250,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,6.4,2,LOW,NONE,PARTIAL,PARTIAL
CVE-2006-0251,1/17/2006 20:51:00,1/17/2006 20:51:00,0,1/17/2006 20:51:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0269,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 19:03:00,13,5.5,2,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0275,1/18/2006 6:03:00,1/18/2006 19:03:00,13,1/18/2006 19:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0306,1/18/2006 19:03:00,1/18/2006 19:03:00,0,1/18/2006 20:03:00,1,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0307,1/18/2006 19:03:00,1/18/2006 20:03:00,1,1/18/2006 20:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0302,1/18/2006 19:03:00,1/18/2006 19:03:00,0,1/18/2006 19:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0319,1/18/2006 20:03:00,1/19/2006 16:03:00,20,1/20/2006 19:03:00,27,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0317,1/18/2006 20:03:00,1/18/2006 20:03:00,0,1/19/2006 16:03:00,20,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0309,1/18/2006 20:03:00,1/18/2006 20:03:00,0,1/18/2006 20:03:00,0,4,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0310,1/18/2006 20:03:00,1/18/2006 20:03:00,0,1/18/2006 20:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0312,1/18/2006 20:03:00,1/18/2006 20:03:00,0,1/18/2006 20:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0315,1/18/2006 20:03:00,1/18/2006 20:03:00,0,1/18/2006 20:03:00,0,5.8,2,MEDIUM,PARTIAL,PARTIAL,NONE
CVE-2006-0322,1/19/2006 16:03:00,1/20/2006 19:03:00,27,1/20/2006 19:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0343,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 20:03:00,1,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0344,1/20/2006 19:03:00,1/20/2006 20:03:00,1,1/20/2006 20:03:00,0,6.4,2,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0327,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0328,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0330,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0331,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0332,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,6.4,2,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0333,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0334,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0335,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0336,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0338,1/20/2006 19:03:00,1/20/2006 19:03:00,0,1/20/2006 19:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0351,1/20/2006 20:03:00,1/20/2006 20:03:00,0,1/22/2006 15:03:00,43,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0352,1/20/2006 20:03:00,1/22/2006 15:03:00,43,1/22/2006 15:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0346,1/20/2006 20:03:00,1/20/2006 20:03:00,0,1/20/2006 20:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0347,1/20/2006 20:03:00,1/20/2006 20:03:00,0,1/20/2006 20:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0348,1/20/2006 20:03:00,1/20/2006 20:03:00,0,1/20/2006 20:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0350,1/20/2006 20:03:00,1/20/2006 20:03:00,0,1/20/2006 20:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0373,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/23/2006 15:03:00,24,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0375,1/22/2006 15:03:00,1/23/2006 15:03:00,24,1/23/2006 17:03:00,2,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0354,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5.5,2,LOW,NONE,NONE,COMPLETE
CVE-2006-0355,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0356,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0357,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0360,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,6.4,2,LOW,PARTIAL,NONE,PARTIAL
CVE-2006-0361,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0362,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0364,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0365,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0366,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0367,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,6.5,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0370,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0371,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/22/2006 15:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0378,1/23/2006 15:03:00,1/23/2006 17:03:00,2,1/23/2006 19:03:00,2,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0037,1/23/2006 17:03:00,1/23/2006 19:03:00,2,1/24/2006 21:03:00,26,4.9,2,LOW,NONE,NONE,COMPLETE
CVE-2006-0321,1/23/2006 19:03:00,1/24/2006 21:03:00,26,1/24/2006 21:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0409,1/24/2006 21:03:00,1/24/2006 21:03:00,0,1/25/2006 6:03:00,9,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0410,1/24/2006 21:03:00,1/25/2006 6:03:00,9,1/25/2006 6:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0224,1/24/2006 21:03:00,1/24/2006 21:03:00,0,1/24/2006 21:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0404,1/24/2006 21:03:00,1/24/2006 21:03:00,0,1/24/2006 21:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0405,1/24/2006 21:03:00,1/24/2006 21:03:00,0,1/24/2006 21:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0406,1/24/2006 21:03:00,1/24/2006 21:03:00,0,1/24/2006 21:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0407,1/24/2006 21:03:00,1/24/2006 21:03:00,0,1/24/2006 21:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0415,1/25/2006 6:03:00,1/25/2006 6:03:00,0,1/25/2006 17:03:00,11,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0416,1/25/2006 6:03:00,1/25/2006 17:03:00,11,1/25/2006 18:07:00,1.06666666666667,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0225,1/25/2006 6:03:00,1/25/2006 6:03:00,0,1/25/2006 6:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0414,1/25/2006 6:03:00,1/25/2006 6:03:00,0,1/25/2006 6:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0381,1/25/2006 17:03:00,1/25/2006 18:07:00,1.06666666666667,1/25/2006 18:07:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0425,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/26/2006 6:07:00,12,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0430,1/25/2006 18:07:00,1/26/2006 6:07:00,12,1/26/2006 17:03:00,10.9333333333333,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0419,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,6.4,2,LOW,PARTIAL,NONE,PARTIAL
CVE-2006-0420,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0421,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0422,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,6.4,2,LOW,PARTIAL,NONE,PARTIAL
CVE-2006-0424,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,4,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0434,1/26/2006 6:07:00,1/26/2006 17:03:00,10.9333333333333,1/26/2006 17:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
